Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
46220 Sagunto/Sagunt;Viviendas con cosumo entre 2.001 y 3.000 kwh;8.044
46220 Sagunto/Sagunt;Viviendas con cosumo entre 3.001 y 4.000 kwh;5.345
46220 Sagunto/Sagunt;Viviendas con cosumo entre 4.001 y 5.000 kwh;2.747
46220 Sagunto/Sagunt;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.342
46220 Sagunto/Sagunt;Viviendas con cosumo entre 6.001 y 7.000 kwh;617
46220 Sagunto/Sagunt;Viviendas con cosumo entre 7.001 y 8.000 kwh;297
46220 Sagunto/Sagunt;Viviendas con cosumo entre 8.001 y 9.000 kwh;139
46220 Sagunto/Sagunt;Viviendas con cosumo entre 9.001 y 10.000 kwh;98
46220 Sagunto/Sagunt;Viviendas con consumo mayor de 10.000 kwh;248
46223 Sedaví;Viviendas totales;4.640
46223 Sedaví;Viviendas vacías;323
46223 Sedaví;Mediana consumo anual;2.438
46223 Sedaví;Viviendas con bajo consumo;105
46223 Sedaví;Viviendas de uso esporádico;306
46223 Sedaví;Viviendas de uso esporádico (entre 251 y 500 kwh);148
46223 Sedaví;Viviendas de uso esporádico (entre 501 y 750 kwh);158
46223 Sedaví;Viviendas con cosumo entre 751 y 1.000 kwh;176
46223 Sedaví;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.130
46223 Sedaví;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.108
46223 Sedaví;Viviendas con cosumo entre 3.001 y 4.000 kwh;779
46223 Sedaví;Viviendas con cosumo entre 4.001 y 5.000 kwh;358
46223 Sedaví;Viviendas con cosumo entre 5.001 y 6.000 kwh;189
46223 Sedaví;Viviendas con cosumo entre 6.001 y 7.000 kwh;72
46223 Sedaví;Viviendas con cosumo entre 7.001 y 8.000 kwh;44
46223 Sedaví;Viviendas con cosumo entre 8.001 y 9.000 kwh;13
46223 Sedaví;Viviendas con cosumo entre 9.001 y 10.000 kwh;9
46223 Sedaví;Viviendas con consumo mayor de 10.000 kwh;28
46227 Senyera *;Viviendas totales;531
46227 Senyera *;Viviendas vacías;46
46227 Senyera *;Mediana consumo anual;3.377
46227 Senyera *;Viviendas con bajo consumo;11
46227 Senyera *;Viviendas de uso esporádico;31
46227 Senyera *;Viviendas de uso esporádico (entre 251 y 500 kwh);13
46227 Senyera *;Viviendas de uso esporádico (entre 501 y 750 kwh);18
46227 Senyera *;Viviendas con cosumo entre 751 y 1.000 kwh;20
46227 Senyera *;Viviendas con cosumo entre 1.001 y 2.000 kwh;60
46227 Senyera *;Viviendas con cosumo entre 2.001 y 3.000 kwh;88
46227 Senyera *;Viviendas con cosumo entre 3.001 y 4.000 kwh;98
46227 Senyera *;Viviendas con cosumo entre 4.001 y 5.000 kwh;77
46227 Senyera *;Viviendas con cosumo entre 5.001 y 6.000 kwh;34
46227 Senyera *;Viviendas con cosumo entre 6.001 y 7.000 kwh;31
46227 Senyera *;Viviendas con cosumo entre 7.001 y 8.000 kwh;14
46227 Senyera *;Viviendas con cosumo entre 8.001 y 9.000 kwh;11
46227 Senyera *;Viviendas con cosumo entre 9.001 y 10.000 kwh;4
46227 Senyera *;Viviendas con consumo mayor de 10.000 kwh;6
46228 Serra;Viviendas totales;2.880
46228 Serra;Viviendas vacías;428
46228 Serra;Mediana consumo anual;2.171
46228 Serra;Viviendas con bajo consumo;120
46228 Serra;Viviendas de uso esporádico;340
46228 Serra;Viviendas de uso esporádico (entre 251 y 500 kwh);172
46228 Serra;Viviendas de uso esporádico (entre 501 y 750 kwh);168
46228 Serra;Viviendas con cosumo entre 751 y 1.000 kwh;180
46228 Serra;Viviendas con cosumo entre 1.001 y 2.000 kwh;550
46228 Serra;Viviendas con cosumo entre 2.001 y 3.000 kwh;457
46228 Serra;Viviendas con cosumo entre 3.001 y 4.000 kwh;291
46228 Serra;Viviendas con cosumo entre 4.001 y 5.000 kwh;209
46228 Serra;Viviendas con cosumo entre 5.001 y 6.000 kwh;115
46228 Serra;Viviendas con cosumo entre 6.001 y 7.000 kwh;74
46228 Serra;Viviendas con cosumo entre 7.001 y 8.000 kwh;28
46228 Serra;Viviendas con cosumo entre 8.001 y 9.000 kwh;27
46228 Serra;Viviendas con cosumo entre 9.001 y 10.000 kwh;30
46228 Serra;Viviendas con consumo mayor de 10.000 kwh;31
46229 Siete Aguas;Viviendas totales;2.036
46229 Siete Aguas;Viviendas vacías;433
46229 Siete Aguas;Mediana consumo anual;1.223
46229 Siete Aguas;Viviendas con bajo consumo;162
46229 Siete Aguas;Viviendas de uso esporádico;455
46229 Siete Aguas;Viviendas de uso esporádico (entre 251 y 500 kwh);252
46229 Siete Aguas;Viviendas de uso esporádico (entre 501 y 750 kwh);203
46229 Siete Aguas;Viviendas con cosumo entre 751 y 1.000 kwh;153
46229 Siete Aguas;Viviendas con cosumo entre 1.001 y 2.000 kwh;385
46229 Siete Aguas;Viviendas con cosumo entre 2.001 y 3.000 kwh;200
46229 Siete Aguas;Viviendas con cosumo entre 3.001 y 4.000 kwh;118
46229 Siete Aguas;Viviendas con cosumo entre 4.001 y 5.000 kwh;54
46229 Siete Aguas;Viviendas con cosumo entre 5.001 y 6.000 kwh;22
46229 Siete Aguas;Viviendas con cosumo entre 6.001 y 7.000 kwh;14
46229 Siete Aguas;Viviendas con cosumo entre 7.001 y 8.000 kwh;8
46229 Siete Aguas;Viviendas con cosumo entre 8.001 y 9.000 kwh;9
46229 Siete Aguas;Viviendas con cosumo entre 9.001 y 10.000 kwh;8
46229 Siete Aguas;Viviendas con consumo mayor de 10.000 kwh;15
46230 Silla *;Viviendas totales;8.876
46230 Silla *;Viviendas vacías;656
46230 Silla *;Mediana consumo anual;2.485
46230 Silla *;Viviendas con bajo consumo;228
46230 Silla *;Viviendas de uso esporádico;591
46230 Silla *;Viviendas de uso esporádico (entre 251 y 500 kwh);295
46230 Silla *;Viviendas de uso esporádico (entre 501 y 750 kwh);296
46230 Silla *;Viviendas con cosumo entre 751 y 1.000 kwh;344
46230 Silla *;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.951
46230 Silla *;Viviendas con cosumo entre 2.001 y 3.000 kwh;2.169
46230 Silla *;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.476
46230 Silla *;Viviendas con cosumo entre 4.001 y 5.000 kwh;803
46230 Silla *;Viviendas con cosumo entre 5.001 y 6.000 kwh;335
46230 Silla *;Viviendas con cosumo entre 6.001 y 7.000 kwh;151
46230 Silla *;Viviendas con cosumo entre 7.001 y 8.000 kwh;67
46230 Silla *;Viviendas con cosumo entre 8.001 y 9.000 kwh;28
46230 Silla *;Viviendas con cosumo entre 9.001 y 10.000 kwh;20
46230 Silla *;Viviendas con consumo mayor de 10.000 kwh;57
46231 Simat de la Valldigna;Viviendas totales;2.457
46231 Simat de la Valldigna;Viviendas vacías;446
46231 Simat de la Valldigna;Mediana consumo anual;2.219
46231 Simat de la Valldigna;Viviendas con bajo consumo;110
46231 Simat de la Valldigna;Viviendas de uso esporádico;261
46231 Simat de la Valldigna;Viviendas de uso esporádico (entre 251 y 500 kwh);127
46231 Simat de la Valldigna;Viviendas de uso esporádico (entre 501 y 750 kwh);134
46231 Simat de la Valldigna;Viviendas con cosumo entre 751 y 1.000 kwh;121
46231 Simat de la Valldigna;Viviendas con cosumo entre 1.001 y 2.000 kwh;470
46231 Simat de la Valldigna;Viviendas con cosumo entre 2.001 y 3.000 kwh;387
46231 Simat de la Valldigna;Viviendas con cosumo entre 3.001 y 4.000 kwh;246
46231 Simat de la Valldigna;Viviendas con cosumo entre 4.001 y 5.000 kwh;164
46231 Simat de la Valldigna;Viviendas con cosumo entre 5.001 y 6.000 kwh;112
46231 Simat de la Valldigna;Viviendas con cosumo entre 6.001 y 7.000 kwh;64
46231 Simat de la Valldigna;Viviendas con cosumo entre 7.001 y 8.000 kwh;35
46231 Simat de la Valldigna;Viviendas con cosumo entre 8.001 y 9.000 kwh;18
46231 Simat de la Valldigna;Viviendas con cosumo entre 9.001 y 10.000 kwh;8
46231 Simat de la Valldigna;Viviendas con consumo mayor de 10.000 kwh;15
46232 Sinarcas;Viviendas totales;908
46232 Sinarcas;Viviendas vacías;144
46232 Sinarcas;Mediana consumo anual;1.438
46232 Sinarcas;Viviendas con bajo consumo;86
46232 Sinarcas;Viviendas de uso esporádico;186
46232 Sinarcas;Viviendas de uso esporádico (entre 251 y 500 kwh);104
46232 Sinarcas;Viviendas de uso esporádico (entre 501 y 750 kwh);82
46232 Sinarcas;Viviendas con cosumo entre 751 y 1.000 kwh;58
46232 Sinarcas;Viviendas con cosumo entre 1.001 y 2.000 kwh;187
46232 Sinarcas;Viviendas con cosumo entre 2.001 y 3.000 kwh;137
46232 Sinarcas;Viviendas con cosumo entre 3.001 y 4.000 kwh;54
46232 Sinarcas;Viviendas con cosumo entre 4.001 y 5.000 kwh;24
46232 Sinarcas;Viviendas con cosumo entre 5.001 y 6.000 kwh;9
46232 Sinarcas;Viviendas con cosumo entre 6.001 y 7.000 kwh;4
46232 Sinarcas;Viviendas con cosumo entre 7.001 y 8.000 kwh;4
46232 Sinarcas;Viviendas con cosumo entre 8.001 y 9.000 kwh;3
46232 Sinarcas;Viviendas con cosumo entre 9.001 y 10.000 kwh;1
46232 Sinarcas;Viviendas con consumo mayor de 10.000 kwh;11
46233 Sollana;Viviendas totales;2.756
46233 Sollana;Viviendas vacías;333
46233 Sollana;Mediana consumo anual;2.774
46233 Sollana;Viviendas con bajo consumo;59
46233 Sollana;Viviendas de uso esporádico;203
46233 Sollana;Viviendas de uso esporádico (entre 251 y 500 kwh);99
46233 Sollana;Viviendas de uso esporádico (entre 501 y 750 kwh);104
46233 Sollana;Viviendas con cosumo entre 751 y 1.000 kwh;117
46233 Sollana;Viviendas con cosumo entre 1.001 y 2.000 kwh;479
46233 Sollana;Viviendas con cosumo entre 2.001 y 3.000 kwh;483
46233 Sollana;Viviendas con cosumo entre 3.001 y 4.000 kwh;469
46233 Sollana;Viviendas con cosumo entre 4.001 y 5.000 kwh;249
46233 Sollana;Viviendas con cosumo entre 5.001 y 6.000 kwh;164
46233 Sollana;Viviendas con cosumo entre 6.001 y 7.000 kwh;92
46233 Sollana;Viviendas con cosumo entre 7.001 y 8.000 kwh;40
46233 Sollana;Viviendas con cosumo entre 8.001 y 9.000 kwh;25
46233 Sollana;Viviendas con cosumo entre 9.001 y 10.000 kwh;14
46233 Sollana;Viviendas con consumo mayor de 10.000 kwh;29
46235 Sueca;Viviendas totales;25.186
46235 Sueca;Viviendas vacías;3.389
46235 Sueca;Mediana consumo anual;1.866
46235 Sueca;Viviendas con bajo consumo;1.464
46235 Sueca;Viviendas de uso esporádico;4.571
46235 Sueca;Viviendas de uso esporádico (entre 251 y 500 kwh);2.434
46235 Sueca;Viviendas de uso esporádico (entre 501 y 750 kwh);2.137
46235 Sueca;Viviendas con cosumo entre 751 y 1.000 kwh;1.777
46235 Sueca;Viviendas con cosumo entre 1.001 y 2.000 kwh;4.342
46235 Sueca;Viviendas con cosumo entre 2.001 y 3.000 kwh;3.380
46235 Sueca;Viviendas con cosumo entre 3.001 y 4.000 kwh;2.659
46235 Sueca;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.671
46235 Sueca;Viviendas con cosumo entre 5.001 y 6.000 kwh;915
46235 Sueca;Viviendas con cosumo entre 6.001 y 7.000 kwh;493
46235 Sueca;Viviendas con cosumo entre 7.001 y 8.000 kwh;207
46235 Sueca;Viviendas con cosumo entre 8.001 y 9.000 kwh;114
46235 Sueca;Viviendas con cosumo entre 9.001 y 10.000 kwh;54
46235 Sueca;Viviendas con consumo mayor de 10.000 kwh;150
46236 Sumacàrcer;Viviendas totales;769
46236 Sumacàrcer;Viviendas vacías;186
46236 Sumacàrcer;Mediana consumo anual;2.452
46236 Sumacàrcer;Viviendas con bajo consumo;14
46236 Sumacàrcer;Viviendas de uso esporádico;84
46236 Sumacàrcer;Viviendas de uso esporádico (entre 251 y 500 kwh);47
46236 Sumacàrcer;Viviendas de uso esporádico (entre 501 y 750 kwh);37
46236 Sumacàrcer;Viviendas con cosumo entre 751 y 1.000 kwh;36
46236 Sumacàrcer;Viviendas con cosumo entre 1.001 y 2.000 kwh;131
46236 Sumacàrcer;Viviendas con cosumo entre 2.001 y 3.000 kwh;92
46236 Sumacàrcer;Viviendas con cosumo entre 3.001 y 4.000 kwh;88
46236 Sumacàrcer;Viviendas con cosumo entre 4.001 y 5.000 kwh;53
46236 Sumacàrcer;Viviendas con cosumo entre 5.001 y 6.000 kwh;41
46236 Sumacàrcer;Viviendas con cosumo entre 6.001 y 7.000 kwh;28
46236 Sumacàrcer;Viviendas con cosumo entre 7.001 y 8.000 kwh;8
46236 Sumacàrcer;Viviendas con cosumo entre 8.001 y 9.000 kwh;3
46236 Sumacàrcer;Viviendas con cosumo entre 9.001 y 10.000 kwh;2
46236 Sumacàrcer;Viviendas con consumo mayor de 10.000 kwh;3
46237 Tavernes Blanques;Viviendas totales;4.221
46237 Tavernes Blanques;Viviendas vacías;379
46237 Tavernes Blanques;Mediana consumo anual;2.281
46237 Tavernes Blanques;Viviendas con bajo consumo;93
46237 Tavernes Blanques;Viviendas de uso esporádico;281
46237 Tavernes Blanques;Viviendas de uso esporádico (entre 251 y 500 kwh);130
46237 Tavernes Blanques;Viviendas de uso esporádico (entre 501 y 750 kwh);151
46237 Tavernes Blanques;Viviendas con cosumo entre 751 y 1.000 kwh;177
46237 Tavernes Blanques;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.078
46237 Tavernes Blanques;Viviendas con cosumo entre 2.001 y 3.000 kwh;984
46237 Tavernes Blanques;Viviendas con cosumo entre 3.001 y 4.000 kwh;669
46237 Tavernes Blanques;Viviendas con cosumo entre 4.001 y 5.000 kwh;306
46237 Tavernes Blanques;Viviendas con cosumo entre 5.001 y 6.000 kwh;130
46237 Tavernes Blanques;Viviendas con cosumo entre 6.001 y 7.000 kwh;55
46237 Tavernes Blanques;Viviendas con cosumo entre 7.001 y 8.000 kwh;26
46237 Tavernes Blanques;Viviendas con cosumo entre 8.001 y 9.000 kwh;12
46237 Tavernes Blanques;Viviendas con cosumo entre 9.001 y 10.000 kwh;8
46237 Tavernes Blanques;Viviendas con consumo mayor de 10.000 kwh;23
46238 Tavernes de la Valldigna;Viviendas totales;15.480
46238 Tavernes de la Valldigna;Viviendas vacías;1.877
46238 Tavernes de la Valldigna;Mediana consumo anual;1.639
46238 Tavernes de la Valldigna;Viviendas con bajo consumo;1.014
46238 Tavernes de la Valldigna;Viviendas de uso esporádico;3.100
46238 Tavernes de la Valldigna;Viviendas de uso esporádico (entre 251 y 500 kwh);1.551
46238 Tavernes de la Valldigna;Viviendas de uso esporádico (entre 501 y 750 kwh);1.549
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 751 y 1.000 kwh;1.168
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 1.001 y 2.000 kwh;3.033
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 2.001 y 3.000 kwh;2.209
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 3.001 y 4.000 kwh;1.510
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 4.001 y 5.000 kwh;812
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 5.001 y 6.000 kwh;367
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 6.001 y 7.000 kwh;154
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 7.001 y 8.000 kwh;81
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 8.001 y 9.000 kwh;51
46238 Tavernes de la Valldigna;Viviendas con cosumo entre 9.001 y 10.000 kwh;26
46238 Tavernes de la Valldigna;Viviendas con consumo mayor de 10.000 kwh;78
46244 Torrent;Viviendas totales;40.564
46244 Torrent;Viviendas vacías;3.969
46244 Torrent;Mediana consumo anual;2.548
46244 Torrent;Viviendas con bajo consumo;735
46244 Torrent;Viviendas de uso esporádico;2.553
46244 Torrent;Viviendas de uso esporádico (entre 251 y 500 kwh);1.250
46244 Torrent;Viviendas de uso esporádico (entre 501 y 750 kwh);1.303
46244 Torrent;Viviendas con cosumo entre 751 y 1.000 kwh;1.615
46244 Torrent;Viviendas con cosumo entre 1.001 y 2.000 kwh;8.499
46244 Torrent;Viviendas con cosumo entre 2.001 y 3.000 kwh;9.229
46244 Torrent;Viviendas con cosumo entre 3.001 y 4.000 kwh;6.362
46244 Torrent;Viviendas con cosumo entre 4.001 y 5.000 kwh;3.510
46244 Torrent;Viviendas con cosumo entre 5.001 y 6.000 kwh;1.865
46244 Torrent;Viviendas con cosumo entre 6.001 y 7.000 kwh;934
46244 Torrent;Viviendas con cosumo entre 7.001 y 8.000 kwh;465
46244 Torrent;Viviendas con cosumo entre 8.001 y 9.000 kwh;246
46244 Torrent;Viviendas con cosumo entre 9.001 y 10.000 kwh;156
46244 Torrent;Viviendas con consumo mayor de 10.000 kwh;426
46246 Tous;Viviendas totales;928
46246 Tous;Viviendas vacías;370
46246 Tous;Mediana consumo anual;3.111
46246 Tous;Viviendas con bajo consumo;15
46246 Tous;Viviendas de uso esporádico;49
46246 Tous;Viviendas de uso esporádico (entre 251 y 500 kwh);23
46246 Tous;Viviendas de uso esporádico (entre 501 y 750 kwh);26
46246 Tous;Viviendas con cosumo entre 751 y 1.000 kwh;18
46246 Tous;Viviendas con cosumo entre 1.001 y 2.000 kwh;72
46246 Tous;Viviendas con cosumo entre 2.001 y 3.000 kwh;122
46246 Tous;Viviendas con cosumo entre 3.001 y 4.000 kwh;105
46246 Tous;Viviendas con cosumo entre 4.001 y 5.000 kwh;75
46246 Tous;Viviendas con cosumo entre 5.001 y 6.000 kwh;43
46246 Tous;Viviendas con cosumo entre 6.001 y 7.000 kwh;27
46246 Tous;Viviendas con cosumo entre 7.001 y 8.000 kwh;13
46246 Tous;Viviendas con cosumo entre 8.001 y 9.000 kwh;9
46246 Tous;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
46246 Tous;Viviendas con consumo mayor de 10.000 kwh;7
46247 Tuéjar;Viviendas totales;1.357
46247 Tuéjar;Viviendas vacías;322
46247 Tuéjar;Mediana consumo anual;1.386
46247 Tuéjar;Viviendas con bajo consumo;137
46247 Tuéjar;Viviendas de uso esporádico;251
46247 Tuéjar;Viviendas de uso esporádico (entre 251 y 500 kwh);144
46247 Tuéjar;Viviendas de uso esporádico (entre 501 y 750 kwh);107
46247 Tuéjar;Viviendas con cosumo entre 751 y 1.000 kwh;95
46247 Tuéjar;Viviendas con cosumo entre 1.001 y 2.000 kwh;222
46247 Tuéjar;Viviendas con cosumo entre 2.001 y 3.000 kwh;133
46247 Tuéjar;Viviendas con cosumo entre 3.001 y 4.000 kwh;74
46247 Tuéjar;Viviendas con cosumo entre 4.001 y 5.000 kwh;50
46247 Tuéjar;Viviendas con cosumo entre 5.001 y 6.000 kwh;26
46247 Tuéjar;Viviendas con cosumo entre 6.001 y 7.000 kwh;16
46247 Tuéjar;Viviendas con cosumo entre 7.001 y 8.000 kwh;13
46247 Tuéjar;Viviendas con cosumo entre 8.001 y 9.000 kwh;8
46247 Tuéjar;Viviendas con cosumo entre 9.001 y 10.000 kwh;5
46247 Tuéjar;Viviendas con consumo mayor de 10.000 kwh;5
46248 Turís;Viviendas totales;5.743
46248 Turís;Viviendas vacías;843
46248 Turís;Mediana consumo anual;2.141
46248 Turís;Viviendas con bajo consumo;210
46248 Turís;Viviendas de uso esporádico;603
46248 Turís;Viviendas de uso esporádico (entre 251 y 500 kwh);295
46248 Turís;Viviendas de uso esporádico (entre 501 y 750 kwh);308
46248 Turís;Viviendas con cosumo entre 751 y 1.000 kwh;338
46248 Turís;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.249
46248 Turís;Viviendas con cosumo entre 2.001 y 3.000 kwh;963
46248 Turís;Viviendas con cosumo entre 3.001 y 4.000 kwh;648
46248 Turís;Viviendas con cosumo entre 4.001 y 5.000 kwh;401
46248 Turís;Viviendas con cosumo entre 5.001 y 6.000 kwh;207
46248 Turís;Viviendas con cosumo entre 6.001 y 7.000 kwh;129
46248 Turís;Viviendas con cosumo entre 7.001 y 8.000 kwh;59
46248 Turís;Viviendas con cosumo entre 8.001 y 9.000 kwh;33
46248 Turís;Viviendas con cosumo entre 9.001 y 10.000 kwh;21
46248 Turís;Viviendas con consumo mayor de 10.000 kwh;39
46249 Utiel;Viviendas totales;8.043
46249 Utiel;Viviendas vacías;1.513
46249 Utiel;Mediana consumo anual;1.851
46249 Utiel;Viviendas con bajo consumo;479
46249 Utiel;Viviendas de uso esporádico;945
46249 Utiel;Viviendas de uso esporádico (entre 251 y 500 kwh);503
46249 Utiel;Viviendas de uso esporádico (entre 501 y 750 kwh);442
46249 Utiel;Viviendas con cosumo entre 751 y 1.000 kwh;456
46249 Utiel;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.870
46249 Utiel;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.366
46249 Utiel;Viviendas con cosumo entre 3.001 y 4.000 kwh;668
46249 Utiel;Viviendas con cosumo entre 4.001 y 5.000 kwh;291
46249 Utiel;Viviendas con cosumo entre 5.001 y 6.000 kwh;157
46249 Utiel;Viviendas con cosumo entre 6.001 y 7.000 kwh;78
46249 Utiel;Viviendas con cosumo entre 7.001 y 8.000 kwh;57
46249 Utiel;Viviendas con cosumo entre 8.001 y 9.000 kwh;46
46249 Utiel;Viviendas con cosumo entre 9.001 y 10.000 kwh;27
46249 Utiel;Viviendas con consumo mayor de 10.000 kwh;90
46250 València;Viviendas totales;414.988
46250 València;Viviendas vacías;36.321
46250 València;Mediana consumo anual;2.157
46250 València;Viviendas con bajo consumo;9.623
46250 València;Viviendas de uso esporádico;30.168
46250 València;Viviendas de uso esporádico (entre 251 y 500 kwh);13.380
46250 València;Viviendas de uso esporádico (entre 501 y 750 kwh);16.788
46250 València;Viviendas con cosumo entre 751 y 1.000 kwh;21.010
46250 València;Viviendas con cosumo entre 1.001 y 2.000 kwh;115.170
46250 València;Viviendas con cosumo entre 2.001 y 3.000 kwh;99.151
46250 València;Viviendas con cosumo entre 3.001 y 4.000 kwh;55.304
46250 València;Viviendas con cosumo entre 4.001 y 5.000 kwh;25.233
46250 València;Viviendas con cosumo entre 5.001 y 6.000 kwh;10.979
46250 València;Viviendas con cosumo entre 6.001 y 7.000 kwh;5.130
46250 València;Viviendas con cosumo entre 7.001 y 8.000 kwh;2.515
46250 València;Viviendas con cosumo entre 8.001 y 9.000 kwh;1.353
46250 València;Viviendas con cosumo entre 9.001 y 10.000 kwh;807
46250 València;Viviendas con consumo mayor de 10.000 kwh;2.224
46251 Vallada;Viviendas totales;2.092
46251 Vallada;Viviendas vacías;516
46251 Vallada;Mediana consumo anual;2.502
46251 Vallada;Viviendas con bajo consumo;77
46251 Vallada;Viviendas de uso esporádico;181
46251 Vallada;Viviendas de uso esporádico (entre 251 y 500 kwh);97
46251 Vallada;Viviendas de uso esporádico (entre 501 y 750 kwh);84
46251 Vallada;Viviendas con cosumo entre 751 y 1.000 kwh;78
46251 Vallada;Viviendas con cosumo entre 1.001 y 2.000 kwh;315
46251 Vallada;Viviendas con cosumo entre 2.001 y 3.000 kwh;311
46251 Vallada;Viviendas con cosumo entre 3.001 y 4.000 kwh;258
46251 Vallada;Viviendas con cosumo entre 4.001 y 5.000 kwh;161
46251 Vallada;Viviendas con cosumo entre 5.001 y 6.000 kwh;96
46251 Vallada;Viviendas con cosumo entre 6.001 y 7.000 kwh;40
46251 Vallada;Viviendas con cosumo entre 7.001 y 8.000 kwh;24
46251 Vallada;Viviendas con cosumo entre 8.001 y 9.000 kwh;9
46251 Vallada;Viviendas con cosumo entre 9.001 y 10.000 kwh;5
46251 Vallada;Viviendas con consumo mayor de 10.000 kwh;21
46254 Venta del Moro;Viviendas totales;1.629
46254 Venta del Moro;Viviendas vacías;368
46254 Venta del Moro;Mediana consumo anual;1.227
46254 Venta del Moro;Viviendas con bajo consumo;185
46254 Venta del Moro;Viviendas de uso esporádico;339
46254 Venta del Moro;Viviendas de uso esporádico (entre 251 y 500 kwh);197
46254 Venta del Moro;Viviendas de uso esporádico (entre 501 y 750 kwh);142
46254 Venta del Moro;Viviendas con cosumo entre 751 y 1.000 kwh;107
46254 Venta del Moro;Viviendas con cosumo entre 1.001 y 2.000 kwh;289
46254 Venta del Moro;Viviendas con cosumo entre 2.001 y 3.000 kwh;165
46254 Venta del Moro;Viviendas con cosumo entre 3.001 y 4.000 kwh;83
46254 Venta del Moro;Viviendas con cosumo entre 4.001 y 5.000 kwh;36
46254 Venta del Moro;Viviendas con cosumo entre 5.001 y 6.000 kwh;19
46254 Venta del Moro;Viviendas con cosumo entre 6.001 y 7.000 kwh;14
46254 Venta del Moro;Viviendas con cosumo entre 7.001 y 8.000 kwh;5
46254 Venta del Moro;Viviendas con cosumo entre 8.001 y 9.000 kwh;7
46254 Venta del Moro;Viviendas con cosumo entre 9.001 y 10.000 kwh;1
46254 Venta del Moro;Viviendas con consumo mayor de 10.000 kwh;11
46255 Vilallonga/Villalonga;Viviendas totales;3.076
46255 Vilallonga/Villalonga;Viviendas vacías;797
46255 Vilallonga/Villalonga;Mediana consumo anual;2.385
46255 Vilallonga/Villalonga;Viviendas con bajo consumo;89
46255 Vilallonga/Villalonga;Viviendas de uso esporádico;266
46255 Vilallonga/Villalonga;Viviendas de uso esporádico (entre 251 y 500 kwh);138
46255 Vilallonga/Villalonga;Viviendas de uso esporádico (entre 501 y 750 kwh);128
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 751 y 1.000 kwh;122
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 1.001 y 2.000 kwh;516
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 2.001 y 3.000 kwh;482
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 3.001 y 4.000 kwh;364
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 4.001 y 5.000 kwh;198
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 5.001 y 6.000 kwh;98
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 6.001 y 7.000 kwh;62
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 7.001 y 8.000 kwh;18
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 8.001 y 9.000 kwh;20
46255 Vilallonga/Villalonga;Viviendas con cosumo entre 9.001 y 10.000 kwh;11
46255 Vilallonga/Villalonga;Viviendas con consumo mayor de 10.000 kwh;33
46256 Vilamarxant;Viviendas totales;7.251
46256 Vilamarxant;Viviendas vacías;1.184
46256 Vilamarxant;Mediana consumo anual;2.477
46256 Vilamarxant;Viviendas con bajo consumo;199
46256 Vilamarxant;Viviendas de uso esporádico;602
46256 Vilamarxant;Viviendas de uso esporádico (entre 251 y 500 kwh);292
46256 Vilamarxant;Viviendas de uso esporádico (entre 501 y 750 kwh);310
46256 Vilamarxant;Viviendas con cosumo entre 751 y 1.000 kwh;331
46256 Vilamarxant;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.365
46256 Vilamarxant;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.277
46256 Vilamarxant;Viviendas con cosumo entre 3.001 y 4.000 kwh;978
46256 Vilamarxant;Viviendas con cosumo entre 4.001 y 5.000 kwh;562
46256 Vilamarxant;Viviendas con cosumo entre 5.001 y 6.000 kwh;349
46256 Vilamarxant;Viviendas con cosumo entre 6.001 y 7.000 kwh;184
46256 Vilamarxant;Viviendas con cosumo entre 7.001 y 8.000 kwh;93
46256 Vilamarxant;Viviendas con cosumo entre 8.001 y 9.000 kwh;42
46256 Vilamarxant;Viviendas con cosumo entre 9.001 y 10.000 kwh;36
46256 Vilamarxant;Viviendas con consumo mayor de 10.000 kwh;49
