Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
04016 Antas;Viviendas con cosumo entre 4.001 y 5.000 kwh;166
04016 Antas;Viviendas con cosumo entre 5.001 y 6.000 kwh;107
04016 Antas;Viviendas con cosumo entre 6.001 y 7.000 kwh;63
04016 Antas;Viviendas con cosumo entre 7.001 y 8.000 kwh;26
04016 Antas;Viviendas con cosumo entre 8.001 y 9.000 kwh;24
04016 Antas;Viviendas con cosumo entre 9.001 y 10.000 kwh;18
04016 Antas;Viviendas con consumo mayor de 10.000 kwh;41
04017 Arboleas;Viviendas totales;2.775
04017 Arboleas;Viviendas vacías;645
04017 Arboleas;Mediana consumo anual;3.033
04017 Arboleas;Viviendas con bajo consumo;53
04017 Arboleas;Viviendas de uso esporádico;160
04017 Arboleas;Viviendas de uso esporádico (entre 251 y 500 kwh);89
04017 Arboleas;Viviendas de uso esporádico (entre 501 y 750 kwh);71
04017 Arboleas;Viviendas con cosumo entre 751 y 1.000 kwh;89
04017 Arboleas;Viviendas con cosumo entre 1.001 y 2.000 kwh;377
04017 Arboleas;Viviendas con cosumo entre 2.001 y 3.000 kwh;396
04017 Arboleas;Viviendas con cosumo entre 3.001 y 4.000 kwh;395
04017 Arboleas;Viviendas con cosumo entre 4.001 y 5.000 kwh;261
04017 Arboleas;Viviendas con cosumo entre 5.001 y 6.000 kwh;179
04017 Arboleas;Viviendas con cosumo entre 6.001 y 7.000 kwh;79
04017 Arboleas;Viviendas con cosumo entre 7.001 y 8.000 kwh;53
04017 Arboleas;Viviendas con cosumo entre 8.001 y 9.000 kwh;32
04017 Arboleas;Viviendas con cosumo entre 9.001 y 10.000 kwh;18
04017 Arboleas;Viviendas con consumo mayor de 10.000 kwh;38
04024 Benahadux;Viviendas totales;2.125
04024 Benahadux;Viviendas vacías;229
04024 Benahadux;Mediana consumo anual;2.953
04024 Benahadux;Viviendas con bajo consumo;38
04024 Benahadux;Viviendas de uso esporádico;133
04024 Benahadux;Viviendas de uso esporádico (entre 251 y 500 kwh);60
04024 Benahadux;Viviendas de uso esporádico (entre 501 y 750 kwh);73
04024 Benahadux;Viviendas con cosumo entre 751 y 1.000 kwh;91
04024 Benahadux;Viviendas con cosumo entre 1.001 y 2.000 kwh;328
04024 Benahadux;Viviendas con cosumo entre 2.001 y 3.000 kwh;392
04024 Benahadux;Viviendas con cosumo entre 3.001 y 4.000 kwh;366
04024 Benahadux;Viviendas con cosumo entre 4.001 y 5.000 kwh;267
04024 Benahadux;Viviendas con cosumo entre 5.001 y 6.000 kwh;130
04024 Benahadux;Viviendas con cosumo entre 6.001 y 7.000 kwh;70
04024 Benahadux;Viviendas con cosumo entre 7.001 y 8.000 kwh;34
04024 Benahadux;Viviendas con cosumo entre 8.001 y 9.000 kwh;17
04024 Benahadux;Viviendas con cosumo entre 9.001 y 10.000 kwh;7
04024 Benahadux;Viviendas con consumo mayor de 10.000 kwh;23
04029 Berja;Viviendas totales;6.748
04029 Berja;Viviendas vacías;747
04029 Berja;Mediana consumo anual;2.421
04029 Berja;Viviendas con bajo consumo;204
04029 Berja;Viviendas de uso esporádico;675
04029 Berja;Viviendas de uso esporádico (entre 251 y 500 kwh);324
04029 Berja;Viviendas de uso esporádico (entre 501 y 750 kwh);351
04029 Berja;Viviendas con cosumo entre 751 y 1.000 kwh;334
04029 Berja;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.333
04029 Berja;Viviendas con cosumo entre 2.001 y 3.000 kwh;1.233
04029 Berja;Viviendas con cosumo entre 3.001 y 4.000 kwh;841
04029 Berja;Viviendas con cosumo entre 4.001 y 5.000 kwh;604
04029 Berja;Viviendas con cosumo entre 5.001 y 6.000 kwh;334
04029 Berja;Viviendas con cosumo entre 6.001 y 7.000 kwh;171
04029 Berja;Viviendas con cosumo entre 7.001 y 8.000 kwh;75
04029 Berja;Viviendas con cosumo entre 8.001 y 9.000 kwh;56
04029 Berja;Viviendas con cosumo entre 9.001 y 10.000 kwh;37
04029 Berja;Viviendas con consumo mayor de 10.000 kwh;104
04030 Canjáyar;Viviendas totales;1.124
04030 Canjáyar;Viviendas vacías;418
04030 Canjáyar;Mediana consumo anual;1.743
04030 Canjáyar;Viviendas con bajo consumo;64
04030 Canjáyar;Viviendas de uso esporádico;116
04030 Canjáyar;Viviendas de uso esporádico (entre 251 y 500 kwh);60
04030 Canjáyar;Viviendas de uso esporádico (entre 501 y 750 kwh);56
04030 Canjáyar;Viviendas con cosumo entre 751 y 1.000 kwh;62
04030 Canjáyar;Viviendas con cosumo entre 1.001 y 2.000 kwh;184
04030 Canjáyar;Viviendas con cosumo entre 2.001 y 3.000 kwh;130
04030 Canjáyar;Viviendas con cosumo entre 3.001 y 4.000 kwh;65
04030 Canjáyar;Viviendas con cosumo entre 4.001 y 5.000 kwh;35
04030 Canjáyar;Viviendas con cosumo entre 5.001 y 6.000 kwh;19
04030 Canjáyar;Viviendas con cosumo entre 6.001 y 7.000 kwh;11
04030 Canjáyar;Viviendas con cosumo entre 7.001 y 8.000 kwh;5
04030 Canjáyar;Viviendas con cosumo entre 8.001 y 9.000 kwh;8
04030 Canjáyar;Viviendas con cosumo entre 9.001 y 10.000 kwh;0
04030 Canjáyar;Viviendas con consumo mayor de 10.000 kwh;7
04031 Cantoria;Viviendas totales;2.499
04031 Cantoria;Viviendas vacías;806
04031 Cantoria;Mediana consumo anual;2.306
04031 Cantoria;Viviendas con bajo consumo;102
04031 Cantoria;Viviendas de uso esporádico;232
04031 Cantoria;Viviendas de uso esporádico (entre 251 y 500 kwh);113
04031 Cantoria;Viviendas de uso esporádico (entre 501 y 750 kwh);119
04031 Cantoria;Viviendas con cosumo entre 751 y 1.000 kwh;92
04031 Cantoria;Viviendas con cosumo entre 1.001 y 2.000 kwh;356
04031 Cantoria;Viviendas con cosumo entre 2.001 y 3.000 kwh;380
04031 Cantoria;Viviendas con cosumo entre 3.001 y 4.000 kwh;222
04031 Cantoria;Viviendas con cosumo entre 4.001 y 5.000 kwh;140
04031 Cantoria;Viviendas con cosumo entre 5.001 y 6.000 kwh;81
04031 Cantoria;Viviendas con cosumo entre 6.001 y 7.000 kwh;34
04031 Cantoria;Viviendas con cosumo entre 7.001 y 8.000 kwh;21
04031 Cantoria;Viviendas con cosumo entre 8.001 y 9.000 kwh;8
04031 Cantoria;Viviendas con cosumo entre 9.001 y 10.000 kwh;6
04031 Cantoria;Viviendas con consumo mayor de 10.000 kwh;19
04032 Carboneras;Viviendas totales;6.292
04032 Carboneras;Viviendas vacías;982
04032 Carboneras;Mediana consumo anual;1.815
04032 Carboneras;Viviendas con bajo consumo;404
04032 Carboneras;Viviendas de uso esporádico;1.021
04032 Carboneras;Viviendas de uso esporádico (entre 251 y 500 kwh);512
04032 Carboneras;Viviendas de uso esporádico (entre 501 y 750 kwh);509
04032 Carboneras;Viviendas con cosumo entre 751 y 1.000 kwh;433
04032 Carboneras;Viviendas con cosumo entre 1.001 y 2.000 kwh;1.189
04032 Carboneras;Viviendas con cosumo entre 2.001 y 3.000 kwh;856
04032 Carboneras;Viviendas con cosumo entre 3.001 y 4.000 kwh;593
04032 Carboneras;Viviendas con cosumo entre 4.001 y 5.000 kwh;340
04032 Carboneras;Viviendas con cosumo entre 5.001 y 6.000 kwh;218
04032 Carboneras;Viviendas con cosumo entre 6.001 y 7.000 kwh;100
04032 Carboneras;Viviendas con cosumo entre 7.001 y 8.000 kwh;56
04032 Carboneras;Viviendas con cosumo entre 8.001 y 9.000 kwh;27
04032 Carboneras;Viviendas con cosumo entre 9.001 y 10.000 kwh;26
04032 Carboneras;Viviendas con consumo mayor de 10.000 kwh;47
04035 Cuevas del Almanzora;Viviendas totales;10.472
04035 Cuevas del Almanzora;Viviendas vacías;2.710
04035 Cuevas del Almanzora;Mediana consumo anual;2.129
04035 Cuevas del Almanzora;Viviendas con bajo consumo;452
04035 Cuevas del Almanzora;Viviendas de uso esporádico;1.207
04035 Cuevas del Almanzora;Viviendas de uso esporádico (entre 251 y 500 kwh);620
04035 Cuevas del Almanzora;Viviendas de uso esporádico (entre 501 y 750 kwh);587
